# R10_sample
k191_104240_1	K02078
k191_91772_1	K00799
k191_456539_1	K10255
k191_351985_1	K09796
k191_351986_1	K11530
k191_39086_1	K00322
k191_91776_1	K07156
k191_195857_1	K06048
k191_247544_1	K01858
k191_299965_1	K00525
k191_195860_1	K03521
k191_508288_1	K02003
k191_351989_2	K02963
k191_456545_1	K00275
k191_508290_1	K03117
k191_508290_2	K03116
k191_351990_1	K22081
k191_403828_1	K02238
k191_299969_1	K06911
k191_39091_1	K07304
k191_403829_1	K07793
k191_91779_1	K01209
k191_403830_1	K01839
k191_456547_1	K07497
k191_247551_1	K01689
k191_195861_3	K07054
k191_39095_1	K00760
k191_143136_1	K04077
k191_351996_1	K00163
k191_195866_1	K02073
k191_508297_1	K01000
k191_91785_1	K07068
k191_403834_1	K00133
k191_39101_1	K02899
k191_456554_1	K05595
k191_299980_1	K02907
k191_299980_2	K02876
k191_403838_1	K02066
k191_39105_1	K02518
k191_351998_1	K07161
k191_39106_1	K00912
k191_91793_1	K02356
k191_247557_1	K03818
k191_39107_1	K01596
k191_403841_1	K03738
k191_352001_1	K07323
k191_508309_1	K01251
k191_91797_2	K01912
k191_352002_1	K07481
k191_143147_1	K00982
k191_299988_1	K08984
k191_39110_1	K07090
k191_143150_1	K03284
k191_403845_1	K18850
k191_299992_1	K01596
k191_91803_1	K02965
k191_91803_2	K02890
k191_195881_1	K02520
k191_195881_2	K02916
k191_299993_1	K03088
k191_508314_1	K02049
k191_352009_1	K02556
k191_508316_1	K00657
k191_456562_1	K03433
k191_456562_2	K20814
k191_456562_2	K13571
k191_39116_1	K03703
k191_195884_1	K04561
k191_39117_1	K05794
k191_456563_2	K22736
k191_39118_1	K01588
k191_39119_1	K00981
k191_247574_1	K02600
k191_195888_1	K03924
k191_508317_1	K01768
k191_508318_1	K11939
k191_403853_1	K01653
k191_508319_1	K00688
k191_143159_2	K03413
k191_300000_1	K07795
k191_403856_1	K01951
k191_195892_2	K01574
k191_247581_1	K07793
k191_91811_2	K03634
k191_352021_2	K03559
k191_300004_1	K05845
k191_508323_2	K02483
k191_39125_1	K01627
k191_195896_1	K03673
k191_352022_1	K20326
k191_456575_1	K00925
k191_508326_1	K07056
k191_300005_1	K01000
k191_247585_1	K00764
k191_91816_1	K01953
k191_195900_1	K13587
k191_143171_1	K00873
k191_300011_1	K03088
k191_91818_1	K03781
k191_91819_1	K02314
k191_247589_1	K09014
k191_143174_1	K07497
k191_247591_1	K01775
k191_143175_1	K21395
k191_300016_1	K01945
k191_91821_1	K00573
k191_195906_1	K07114
k191_300017_1	K08602
k191_352029_1	K07263
k191_403871_1	K01854
k191_456588_1	K00979
k191_247594_1	K01596
k191_39140_1	K21023
k191_403874_1	K01297
k191_403875_1	K07107
k191_195911_2	K01704
k191_143181_1	K03474
k191_39142_1	K03527
k191_508341_1	K03797
k191_456591_2	K13588
k191_143182_1	K11960
k191_300025_1	K03466
k191_403879_1	K02039
k191_39147_1	K01356
k191_352044_1	K07793
k191_403880_2	K00989
k191_39151_1	K07793
k191_508348_1	K00954
k191_91837_1	K01772
k191_508349_1	K00859
k191_508349_2	K02654
k191_300033_1	K06442
k191_91838_1	K02004
k191_195918_2	K03273
k191_300034_1	K00867
k191_508354_1	K02034
k191_300036_1	K03551
k191_39159_1	K03979
k191_195921_1	K03531
k191_39160_1	K07497
k191_91842_1	K07497
k191_403888_1	K04065
k191_456601_1	K02004
k191_143195_1	K03750
k191_300037_2	K02968
k191_195924_1	K06888
k191_352050_1	K22704
k191_352050_1	K04034
k191_456605_1	K01752
k191_300038_2	K00075
k191_403892_1	K02874
k191_352051_1	K05810
k191_352051_2	K06997
k191_456607_1	K07058
k191_195928_1	K03040
k191_143199_1	K00943
k191_143200_1	K00688
k191_508364_1	K05595
k191_508365_1	K03474
k191_300044_1	K02040
k191_91854_1	K03455
k191_91855_1	K06076
k191_195931_2	K00053
k191_195932_1	K09022
k191_403899_1	K05896
k191_403899_2	K13292
k191_352061_1	K07491
k191_508370_1	K07220
k191_143207_1	K03556
k191_352062_1	K02004
k191_508371_1	K00064
k191_403901_2	K01114
k191_352064_1	K00927
k191_508373_1	K09882
k191_195937_1	K01995
k191_195937_1	K10822
k191_456622_1	K06187
k191_143213_1	K00053
k191_352069_1	K03088
k191_143214_1	K08972
k191_247628_1	K03979
k191_247629_1	K08482
k191_143216_1	K03593
k191_456628_1	K06997
k191_300058_1	K21395
k191_403913_1	K01069
k191_143224_1	K03781
k191_247633_1	K04079
k191_39189_1	K07488
k191_91875_2	K02950
k191_143226_1	K09005
k191_143226_2	K12511
k191_300063_1	K03088
k191_456637_1	K08683
k191_143227_2	K02437
k191_247636_1	K00525
k191_403918_2	K02610
k191_39194_1	K02033
k191_247638_2	K18622
k191_300069_1	K08166
k191_456644_2	K13640
k191_91883_1	K10773
k191_247639_1	K02078
k191_143231_1	K01755
k191_508396_1	K04652
k191_247641_1	K00789
k191_352088_1	K01470
k191_39200_1	K07979
k191_91886_1	K15371
k191_403926_1	K00986
k191_143234_1	K10713
k191_300076_1	K01409
k191_300077_1	K18979
k191_143235_1	K03593
k191_195968_1	K07492
k191_195968_2	K07492
k191_456651_1	K03553
k191_300078_2	K02109
k191_456653_1	K01912
k191_508401_1	K02356
k191_508401_2	K02160
k191_352092_1	K18189
k191_403928_1	K15977
k191_39201_2	K07487
k191_39201_2	K07481
k191_91893_1	K01915
k191_143241_1	K09710
k191_403930_1	K00163
k191_456660_1	K03832
k191_195972_1	K03424
k191_91894_1	K02931
k191_91895_1	K00075
k191_143242_1	K00789
k191_143242_2	K01251
k191_91898_2	K02899
k191_508408_1	K04079
k191_456661_2	K16842
k191_403934_1	K01159
k191_247654_2	K06998
k191_300088_1	K12508
k191_508411_1	K00600
k191_91902_1	K02416
k191_39207_1	K03194
k191_39207_2	K22955
k191_403937_1	K02109
k191_195980_1	K00413
k191_403938_1	K03071
k191_195982_1	K07497
k191_91907_1	K00286
k191_403942_1	K03499
k191_195983_1	K03723
k191_352108_1	K01926
k191_508416_2	K05973
k191_39212_2	K22042
k191_352109_1	K23555
k191_195984_1	K03980
k191_91915_1	K00831
k191_403946_1	K01712
k191_247664_1	K07080
k191_195986_1	K07160
k191_143255_1	K07497
k191_352110_1	K00554
k191_352110_2	K02884
k191_352111_1	K04077
k191_456676_1	K03218
k191_456676_2	K00600
k191_403949_2	K02034
k191_247666_1	K22210
k191_143265_1	K01875
k191_508426_1	K00986
k191_195997_1	K00799
k191_143267_1	K01251
k191_508428_1	K07259
k191_352120_1	K02601
k191_196001_1	K07240
k191_456687_1	K01805
k191_300110_1	K03365
k191_143273_1	K01919
k191_196005_1	K02520
k191_196005_2	K02916
k191_456688_2	K06204
k191_456688_3	K09710
k191_143274_1	K03088
k191_196006_1	K02004
k191_91930_2	K00606
k191_300113_1	K01937
k191_247677_1	K00683
k191_247677_2	K03711
k191_247678_1	K04077
k191_352125_1	K00134
k191_352125_2	K01810
k191_508438_1	K13075
k191_91934_1	K01246
k191_508439_1	K17865
k191_508440_1	K07486
k191_456695_1	K05710
k191_300118_1	K00635
k191_39236_2	K09903
k191_196013_1	K01595
k191_508443_1	K03406
k191_143282_1	K01972
k191_247683_1	K03598
k191_352130_1	K02945
k191_403972_1	K03218
k191_196015_1	K03832
k191_352132_1	K01912
k191_196016_1	K16652
k191_508447_1	K07478
k191_39240_1	K01621
k191_196018_1	K00574
k191_247687_1	K07300
k191_300126_1	K18351
k191_456700_1	K03396
k191_247688_1	K07058
k191_403977_1	K08177
k191_247690_1	K07104
k191_352143_2	K02025
k191_39251_1	K00769
k191_196027_1	K09165
k191_247693_1	K07300
k191_403985_2	K23264
k191_508456_1	K01755
k191_247694_1	K01989
k191_91957_1	K00764
k191_91958_1	K02863
k191_352150_1	K02030
k191_456707_2	K01714
k191_300132_2	K13020
k191_300132_3	K02028
k191_300132_3	K10822
k191_143295_1	K21929
k191_247696_1	K02358
k191_508460_1	K02040
k191_91959_1	K07001
k191_247697_1	K06915
k191_300134_1	K06400
k191_508464_1	K07039
k191_352154_1	K07082
k191_456714_1	K07056
k191_39266_1	K00859
k191_456716_1	K00163
k191_508468_1	K06194
k191_456717_1	K00600
k191_508469_1	K03147
k191_91966_1	K08591
k191_196040_1	K07497
k191_352160_1	K04750
k191_508470_1	K07795
k191_352163_1	K07058
k191_352164_1	K01953
k191_508472_1	K03781
k191_352165_1	K01151
k191_91970_1	K04077
k191_456723_1	K19267
k191_456724_1	K03523
k191_300141_1	K07315
k191_91973_1	K03610
k191_39277_1	K07403
k191_196045_2	K03152
k191_508476_1	K00088
k191_247706_1	K02950
k191_143306_1	K01937
k191_456726_1	K00549
k191_404002_2	K03320
k191_196046_1	K09808
k191_196046_1	K02004
k191_143310_1	K03631
k191_456728_1	K00311
k191_247708_2	K02902
k191_91977_1	K04656
k191_91978_1	K02034
k191_300151_1	K03625
k191_456730_1	K03147
k191_508478_2	K13378
k191_508478_2	K00333
k191_508478_2	K00331
k191_508478_2	K00332
k191_456733_1	K00286
k191_91982_1	K00762
k191_39289_2	K01251
k191_39289_3	K00789
k191_352177_1	K03809
k191_247714_2	K09009
k191_247714_4	K00873
k191_39291_1	K21029
k191_143319_1	K01704
k191_352179_1	K00962
k191_91990_1	K03564
k191_300158_1	K03040
k191_352180_1	K06167
k191_143324_1	K01915
k191_456744_1	K07305
k191_300162_2	K02379
k191_404015_1	K12132
k191_404015_1	K11912
k191_456745_1	K00602
k191_196059_1	K00548
k191_39297_1	K04077
k191_39298_1	K09767
k191_300166_1	K00982
k191_456747_1	K19294
k191_404020_1	K07082
k191_247725_1	K03611
k191_404021_1	K04074
k191_92003_1	K15512
k191_508495_2	K02078
k191_196065_1	K02887
k191_196065_2	K02916
k191_404023_1	K07478
k191_39303_1	K03628
k191_300172_1	K01951
k191_508499_1	K00549
k191_196068_1	K02109
k191_352196_1	K02034
k191_352197_1	K01485
k191_508501_1	K02002
k191_247731_1	K03701
k191_39307_1	K00344
k191_300176_1	K00124
k191_352199_1	K03925
k191_39310_1	K01546
k191_143342_1	K01649
k191_247735_1	K00641
k191_300178_2	K07506
k191_196074_1	K04102
k191_352200_1	K07315
k191_508507_1	K02004
k191_143345_1	K02040
k191_92014_1	K03075
k191_247740_1	K02992
k191_404031_1	K03789
k191_92015_1	K00858
k191_508510_1	K00635
k191_300181_1	K03092
k191_39317_1	K00986
k191_143347_1	K02945
k191_300182_1	K01915
k191_247741_1	K06384
k191_92018_1	K03553
k191_300185_2	K02959
k191_196081_1	K19405
k191_508515_1	K20999
k191_247746_2	K02030
k191_300187_1	K05841
k191_456766_1	K05555
k191_143350_4	K00175
k191_456767_1	K00965
k191_352209_2	K02003
k191_143351_1	K01619
k191_247750_1	K01785
k191_196089_1	K00927
k191_39320_2	K04034
k191_143352_1	K03561
k191_508521_1	K00549
k191_352210_1	K03977
k191_404046_1	K04077
k191_143355_1	K01273
k191_300193_2	K06911
k191_352213_2	K05337
k191_404047_1	K04771
k191_92029_1	K07390
k191_352217_1	K07397
k191_247756_1	K03561
k191_39327_1	K03644
k191_92032_1	K01869
k191_508532_1	K04078
k191_196096_1	K00626
k191_456771_2	K01904
k191_196099_1	K00925
k191_92035_1	K06893
k191_300202_1	K02931
k191_196101_1	K03924
k191_300204_1	K07051
k191_39329_1	K03088
k191_404056_1	K02114
k191_456777_1	K00948
k191_352226_2	K02913
k191_143364_1	K09811
k191_143364_2	K09812
k191_247767_1	K02518
k191_247767_2	K02952
k191_300205_1	K01880
k191_39332_1	K03808
k191_39332_2	K03808
k191_247770_1	K00525
k191_143367_1	K02888
k191_508541_1	K12373
k191_92044_2	K01875
k191_143368_1	K03544
k191_39334_1	K09791
k191_92045_2	K00338
k191_143369_1	K02945
k191_143371_1	K01889
k191_456786_1	K02313
k191_143372_1	K04078
k191_196113_1	K02654
k191_247777_1	K01887
k191_39338_1	K03703
k191_92046_2	K03521
k191_404069_1	K01971
k191_39340_2	K23684
k191_143376_1	K16079
k191_196119_1	K00297
k191_404074_1	K03797
k191_39342_1	K07497
k191_247784_1	K07482
k191_300218_1	K01997
k191_196120_2	K00655
k191_39345_1	K03088
k191_508551_1	K00602
k191_39347_1	K00826
k191_300224_1	K03088
k191_196125_1	K11891
k191_508553_2	K02167
k191_508560_1	K07090
k191_456804_1	K02078
k191_39354_1	K10536
k191_39355_2	K03521
k191_404094_1	K22757
k191_300230_2	K02394
k191_196136_1	K09726
k191_92074_1	K03639
k191_39360_1	K03559
k191_39360_2	K03561
k191_300232_1	K03519
k191_456805_1	K01623
k191_456805_2	K01783
k191_404099_1	K07462
k191_92075_1	K03650
k191_196138_1	K02004
k191_508567_1	K02886
k191_92076_1	K00425
k191_404102_1	K10914
k191_456810_1	K02423
k191_247811_1	K07243
k191_300240_1	K06381
k191_247812_1	K03975
k191_39367_1	K04079
k191_352261_1	K06911
k191_92078_1	K01934
k191_300243_1	K09768
k191_247814_1	K08995
k191_196146_1	K18336
k191_143409_1	K03495
k191_456814_1	K07486
k191_404108_1	K03556
k191_508576_1	K10914
k191_143410_1	K09949
k191_404109_1	K03781
k191_247816_1	K03147
k191_508577_1	K22479
k191_92082_1	K00433
k191_247817_1	K03925
k191_196151_1	K03553
k191_352264_1	K03469
k191_352265_1	K07486
k191_196152_1	K06134
k191_404113_1	K07098
k191_352268_1	K02990
k191_352268_2	K02963
k191_39375_1	K03885
k191_352269_1	K00285
k191_92091_1	K01875
k191_247826_1	K09989
k191_300256_1	K02314
k191_300257_1	K01297
k191_352270_1	K01881
k191_92093_1	K09941
k191_456824_1	K01990
k191_196159_2	K01997
k191_404120_1	K04077
k191_508590_1	K03979
k191_196160_2	K06998
k191_404123_1	K01939
k191_143422_1	K00053
k191_352273_2	K22278
k191_508591_2	K01673
k191_196162_2	K06888
k191_92100_1	K00286
k191_300266_1	K07486
k191_196164_1	K02109
k191_39384_1	K19689
k191_404126_1	K20454
k191_404127_1	K00077
k191_352276_1	K09915
k191_196165_1	K06907
k191_247832_1	K01473
k191_300269_1	K06213
k191_300269_2	K03584
k191_456829_1	K03076
k191_196166_1	K03455
k191_300272_1	K07486
k191_39392_1	K01129
k191_508600_1	K00412
k191_143435_1	K02838
k191_92107_1	K17836
k191_247836_1	K00450
k191_92108_1	K03300
k191_352283_1	K10822
k191_92111_1	K03750
k191_92113_1	K03527
k191_39400_1	K02456
k191_456833_3	K01092
k191_456833_4	K01865
k191_456835_1	K07192
k191_92116_1	K03642
k191_300281_1	K07051
k191_143441_1	K09932
k191_352289_2	K00077
k191_456837_1	K07482
k191_143442_1	K00338
k191_247845_1	K03601
k191_300282_1	K02557
k191_143444_1	K01989
k191_92120_1	K06041
k191_143446_2	K02046
k191_404149_1	K00297
k191_404149_2	K01934
k191_300287_1	K00616
k191_143447_1	K03424
k191_247851_1	K02316
k191_143449_1	K02636
k191_300293_1	K08084
k191_352304_1	K07402
k191_508624_1	K01548
k191_456846_1	K02886
k191_196187_2	K02355
k191_39415_1	K18682
k191_196188_1	K03147
k191_39416_1	K00134
k191_39417_1	K03147
k191_300303_1	K02197
k191_143458_1	K03593
k191_456851_1	K02034
k191_247864_1	K03799
k191_39421_1	K02004
k191_196194_1	K01989
k191_39422_1	K15773
k191_92142_1	K02945
k191_404160_1	K02033
k191_456857_1	K02004
k191_247870_2	K02419
k191_508632_4	K01515
k191_508632_5	K02026
k191_352321_1	K03088
k191_39428_1	K01698
k191_247872_1	K07071
k191_143469_1	K01810
k191_352323_1	K01736
k191_404164_1	K06076
k191_39429_1	K14986
k191_247877_2	K07023
k191_352325_1	K03635
k191_352325_1	K03636
k191_143474_1	K03270
k191_92151_1	K06997
k191_92151_2	K09772
k191_92152_1	K03496
k191_456864_1	K06889
k191_508641_1	K07742
k191_92154_2	K02871
k191_92155_1	K00134
k191_143478_1	K07742
k191_404171_1	K03924
k191_143480_1	K01704
k191_352334_1	K02884
k191_39437_1	K03642
k191_39437_1	K21470
k191_508648_1	K01972
k191_352335_1	K03320
k191_456871_2	K09972
k191_456871_2	K02028
k191_456871_2	K10822
k191_39438_1	K01874
k191_196218_1	K02492
k191_39440_1	K02946
k191_508652_1	K01251
k191_92165_1	K01755
k191_196222_1	K09880
k191_456875_2	K02961
k191_300330_1	K03320
k191_196223_1	K07442
k191_196224_1	K02040
k191_352343_2	K05710
k191_247890_1	K02510
k191_508657_1	K02034
k191_404184_1	K01872
k191_456877_1	K06877
k191_247894_1	K23264
k191_404186_1	K07483
k191_508660_2	K02838
k191_196229_1	K01835
k191_300333_2	K01061
k191_196230_1	K03531
k191_508663_1	K02867
k191_404189_1	K02004
k191_508665_1	K03639
k191_508666_1	K00077
k191_352351_1	K19200
k191_196233_1	K01953
k191_196234_1	K00759
k191_143502_2	K01778
k191_247903_2	K18029
k191_247904_1	K07053
k191_39461_2	K02965
k191_92180_2	K02651
k191_196239_1	K02034
k191_508671_1	K03076
k191_352354_2	K02078
k191_247907_1	K00540
k191_247908_1	K21395
k191_508672_1	K01579
k191_39465_1	K00790
k191_92184_1	K02492
k191_456888_1	K04757
k191_508676_1	K04485
k191_300341_1	K00057
k191_300341_2	K00965
k191_352357_1	K16937
k191_300343_1	K01478
k191_352359_1	K02945
k191_92187_1	K01061
k191_39475_1	K02034
k191_404203_1	K09812
k191_456894_1	K01989
k191_300348_1	K00602
k191_196248_2	K03569
k191_143517_1	K03569
k191_39480_1	K01425
k191_404208_2	K06137
k191_39482_1	K01972
k191_352366_1	K05814
k191_456897_2	K01997
k191_300355_2	K07497
k191_508695_1	K01816
k191_404215_1	K07497
k191_247926_1	K01868
k191_300360_1	K03531
k191_247927_1	K07486
k191_508699_1	K03406
k191_300362_1	K07486
k191_143526_1	K07031
k191_92199_1	K03216
k191_456903_1	K00809
k191_247932_1	K02342
k191_196262_1	K02338
k191_352376_1	K02510
k191_404220_1	K01997
k191_92202_1	K02195
k191_404223_1	K04077
k191_300367_1	K04485
k191_92205_1	K02863
k191_300369_1	K04078
k191_92206_1	K02004
k191_404225_1	K07795
k191_300371_1	K02034
k191_404226_1	K05555
k191_508711_1	K01826
k191_300372_1	K03569
k191_143543_1	K06997
k191_92212_1	K01951
k191_39504_1	K01889
k191_196279_1	K01066
k191_247946_1	K03092
k191_404231_4	K21908
k191_196280_1	K00986
k191_404232_1	K03744
k191_352392_2	K00799
k191_143548_1	K06189
k191_247953_2	K00425
k191_300382_1	K03549
k191_352397_1	K01875
k191_300383_1	K00540
k191_404237_1	K10536
k191_196283_1	K04712
k191_92220_1	K01821
k191_143549_1	K01999
k191_300384_1	K02967
k191_247957_1	K00145
k191_300385_1	K00163
k191_143551_1	K07507
k191_456926_1	K14205
k191_196293_1	K07090
k191_508728_1	K00927
k191_39515_1	K02415
k191_39515_2	K02418
k191_352401_1	K07560
k191_352401_2	K09748
k191_352401_3	K02600
k191_92230_1	K07795
k191_300391_1	K07494
k191_456930_1	K03320
k191_143560_1	K11753
k191_508733_1	K02426
k191_196299_1	K01624
k191_456931_2	K18226
k191_404249_1	K01843
k191_300392_1	K03702
k191_247966_1	K06187
k191_39520_1	K07486
k191_300393_2	K09165
k191_404252_1	K07240
k191_39521_1	K02040
k191_143563_1	K23535
k191_352410_1	K07493
k191_404253_1	K03797
k191_247970_2	K00411
k191_39522_1	K03799
k191_456935_1	K01724
k191_196304_2	K03116
k191_39523_2	K02890
k191_39523_3	K02965
k191_352411_2	K02520
k191_300396_2	K01042
k191_456941_1	K07738
k191_508739_1	K04485
k191_92246_1	K03704
k191_143574_1	K00789
k191_300401_2	K01934
k191_143575_1	K07300
k191_92248_1	K00163
k191_300402_1	K00549
k191_196310_1	K00525
k191_352420_1	K00428
k191_404262_1	K00163
k191_39533_1	K02386
k191_300404_1	K00930
k191_39534_1	K01644
k191_352422_2	K07482
k191_300405_1	K17836
k191_92253_1	K03527
k191_352423_1	K02860
k191_404267_1	K01998
k191_196318_1	K02961
k191_196318_2	K02874
k191_508744_1	K15735
k191_92257_2	K02874
k191_143580_1	K03430
k191_352426_1	K00925
k191_300410_2	K10822
k191_196321_1	K00240
k191_508746_1	K01241
k191_456955_1	K08992
k191_352427_1	K21470
k191_300411_1	K00549
k191_508748_1	K00826
k191_92263_2	K02600
k191_300414_1	K12574
k191_39542_1	K12132
k191_39542_1	K11912
k191_300415_1	K00655
k191_352433_1	K02510
k191_143588_1	K01972
k191_404274_1	K10219
k191_300417_1	K07493
k191_456963_1	K01661
k191_247991_1	K02600
k191_92267_1	K17230
k191_196331_1	K03406
k191_143594_1	K03210
k191_300421_1	K02051
k191_196334_1	K01940
k191_300423_1	K02035
k191_300424_1	K01876
k191_456966_1	K00240
k191_92275_1	K00600
k191_300426_1	K00641
k191_196340_1	K03631
k191_456969_1	K02986
k191_300431_1	K00791
k191_143602_1	K07795
k191_196343_1	K04749
k191_92281_1	K03092
k191_196346_1	K02414
k191_248005_1	K02563
k191_92283_1	K07240
k191_300433_1	K04065
k191_143605_1	K03530
k191_196347_1	K02051
k191_143606_1	K22491
k191_39567_1	K03628
k191_300436_1	K02864
k191_196352_1	K09767
k191_92287_1	K01737
k191_508772_1	K00606
k191_352447_3	K01621
k191_196355_1	K07486
k191_404295_1	K03046
k191_92288_1	K01768
k191_508776_1	K07493
k191_508776_2	K07493
k191_196358_1	K02520
k191_196358_2	K02916
k191_143613_1	K00688
k191_404298_1	K01610
k191_508779_1	K01005
k191_508781_1	K00635
k191_456981_1	K03525
k191_352456_1	K03154
k191_300442_1	K01800
k191_300442_1	K00799
k191_143616_1	K10979
k191_508783_1	K01005
k191_300444_1	K17836
k191_39575_1	K06168
k191_300448_1	K02954
k191_196366_1	K03100
k191_456989_1	K15977
k191_92299_1	K00799
k191_404310_1	K00549
k191_92300_1	K06140
k191_143624_1	K01915
k191_39581_1	K03676
k191_39581_2	K03071
k191_508792_2	K00790
k191_352459_2	K10914
k191_352459_3	K07289
k191_300457_1	K02372
k191_456995_1	K01551
k191_248030_2	K03637
k191_92305_1	K09989
k191_352462_1	K01419
k191_92306_1	K03320
k191_352464_1	K08591
k191_508796_1	K01799
k191_92309_1	K13598
k191_300463_1	K04083
k191_39591_1	K03781
k191_457000_1	K19267
k191_143634_1	K01091
k191_300464_1	K02204
k191_248037_1	K01875
k191_300465_1	K01736
k191_457003_1	K01448
k191_352467_2	K02050
k191_248039_1	K16212
k191_92314_1	K07793
k191_92314_2	K07794
k191_457005_1	K01996
k191_457005_1	K10822
k191_404329_1	K05896
k191_143643_2	K00241
k191_143644_1	K00962
k191_143644_2	K02956
k191_352474_1	K03789
k191_352474_2	K09794
k191_196394_1	K07482
k191_508810_1	K01996
k191_508810_1	K10822
k191_404335_1	K02343
k191_248050_1	K01989
k191_92323_1	K03636
k191_143649_1	K10778
k191_92324_1	K02015
k191_196400_1	K00134
k191_508813_1	K00763
k191_248056_1	K03610
k191_508814_1	K07315
k191_196403_1	K03466
k191_508815_1	K01989
k191_457016_1	K08307
k191_92329_2	K06949
k191_39609_1	K04077
k191_352480_1	K03118
k191_248059_1	K04077
k191_143656_1	K07147
k191_508820_1	K03116
k191_457021_1	K02913
k191_352485_1	K01000
k191_143660_1	K09798
k191_352486_2	K00390
k191_143661_1	K01698
k191_457023_2	K01975
k191_457024_1	K02600
k191_352487_1	K11991
k191_300493_1	K14083
k191_39619_1	K00759
k191_248068_1	K00111
k191_196419_1	K22622
k191_508822_2	K02888
k191_508822_3	K02899
k191_352488_1	K07005
k191_196420_2	K09930
k191_300497_1	K00175
k191_39622_1	K04096
k191_92339_1	K06188
k191_196421_1	K01251
k191_39623_2	K00452
k191_248069_2	K07395
k191_300499_1	K03466
k191_196426_1	K07486
k191_508826_1	K09955
k191_196427_1	K00930
k191_39630_1	K00927
k191_39631_1	K09882
k191_300505_2	K02277
k191_508827_1	K02004
k191_300506_1	K02982
k191_248074_2	K02110
k191_508828_1	K04749
k191_143682_2	K03118
k191_457033_1	K04066
k191_39634_1	K01457
k191_508830_1	K02050
k191_248081_2	K07160
k191_300511_2	K01246
k191_457036_1	K02338
k191_92353_1	K01920
k191_508833_1	K07795
k191_300513_1	K07243
k191_457037_1	K03088
k191_196438_1	K03589
k191_300516_1	K01953
k191_39642_1	K03925
k191_196441_1	K07058
k191_508839_2	K06888
k191_143691_2	K07056
k191_248087_1	K01637
k191_404368_1	K01079
k191_39644_1	K08602
k191_248088_1	K18235
k191_143693_1	K02034
k191_92361_1	K21310
k191_196444_1	K00773
k191_404370_2	K00033
k191_300522_1	K13483
k191_248091_2	K07025
k191_352505_1	K06949
k191_508846_1	K07403
k191_39648_2	K04751
k191_508847_2	K09763
k191_143700_1	K02195
k191_39649_1	K07181
k191_143702_1	K07742
k191_352509_1	K03070
k191_300530_2	K02078
k191_457050_1	K03413
k191_92372_1	K03406
k191_508853_1	K02952
k191_143704_1	K04077
k191_143704_2	K04078
k191_300534_1	K00764
k191_92376_1	K24131
k191_300536_1	K03496
k191_248104_1	K03781
k191_508856_1	K04485
k191_457054_1	K03925
k191_404383_1	K03544
k191_196462_1	K00425
k191_457055_1	K04564
k191_92381_1	K01858
k191_39660_1	K08309
k191_508860_1	K00912
k191_352518_2	K01768
k191_404387_1	K07220
k191_196469_2	K02939
k191_404391_1	K07136
k191_143713_1	K03821
k191_457061_1	K01661
k191_508868_1	K03636
k191_404396_1	K05808
k191_39664_1	K07486
k191_143715_1	K08602
k191_300549_1	K02195
k191_300550_1	K03569
k191_92390_1	K03424
k191_196477_1	K01005
k191_92391_1	K02358
k191_457062_2	K02026
k191_92393_1	K00873
k191_196479_1	K03924
k191_508873_1	K02034
k191_143719_1	K01273
k191_196480_2	K00075
k191_39666_1	K02033
k191_39666_2	K02034
k191_248122_1	K03781
k191_457064_1	K02909
k191_508875_1	K01937
k191_300556_1	K06891
k191_196482_1	K02067
k191_248123_1	K02835
k191_39670_1	K06923
k191_300559_2	K07095
k191_143723_1	K15024
k191_143723_1	K00925
k191_457070_1	K02004
k191_143724_1	K02004
k191_92402_1	K01737
k191_196488_1	K02967
k191_404409_1	K03469
k191_248131_1	K01951
k191_300566_1	K03088
k191_248132_1	K08316
k191_196491_1	K06006
k191_39677_1	K07487
k191_92409_1	K01689
k191_457076_1	K01920
k191_300568_1	K11070
k191_92411_1	K07397
k191_457078_1	K02662
k191_300571_1	K02909
k191_39681_2	K02965
k191_300575_1	K01933
k191_196500_1	K00799
k191_300576_1	K02015
k191_92415_1	K03088
k191_92415_2	K09143
k191_404422_1	K07052
k191_352547_2	K03086
k191_196502_1	K02238
k191_508891_2	K01448
k191_300580_1	K02913
k191_300581_1	K00799
k191_508895_1	K09994
k191_300582_1	K04075
k191_39688_1	K03406
k191_196504_1	K18997
k191_457086_1	K05845
k191_300583_1	K02982
k191_143748_1	K05807
k191_508899_1	K06920
k191_143749_1	K07114
k191_248152_1	K04750
k191_457087_1	K03852
k191_92422_1	K09990
k191_92422_2	K10778
k191_248157_1	K00067
k191_457088_1	K03561
k191_300587_1	K07795
k191_196514_1	K00789
k191_143757_1	K11477
k191_457091_2	K03687
k191_248163_1	K07447
k191_196516_1	K00615
k191_300591_1	K00567
k191_352564_1	K02926
k191_196518_1	K01915
k191_39700_2	K01521
k191_248166_1	K03088
k191_508910_1	K07315
k191_352565_1	K08224
k191_457093_1	K07506
k191_404439_1	K07147
k191_143766_1	K09761
k191_39704_1	K01919
k191_352568_1	K02111
k191_508913_1	K00033
k191_404443_1	K01619
k191_39706_1	K01061
k191_196524_1	K08591
k191_196525_1	K09763
k191_457098_1	K02945
k191_248171_1	K01740
k191_143774_1	K00927
k191_92439_1	K03088
k191_300601_1	K00635
k191_404446_1	K03092
k191_300602_1	K01462
k191_196528_2	K02018
k191_92441_1	K02838
k191_352572_1	K08869
k191_143777_1	K00859
k191_248172_1	K17675
k191_39712_1	K02448
k191_92442_1	K02986
